"source,target"
"मै स्कूल जारहा हु,मैं स्कूल जा रहा हूँ"
"वो मार्केट गया था,वह मार्केट गया था"
"लड़के खेल रहा है,लड़के खेल रहे हैं"
"मुझे खाना चाहिए है,मुझे खाना चाहिए"
"तुम्हे पता नहीं है क्या,तुम्हें पता नहीं है क्या"
"वह कल स्कूल जायेगा था,वह कल स्कूल गया था"
"स्कूल में बच्चो खेलते हैं,स्कूल में बच्चे खेलते हैं"
"राजा ने किताब पढ़ती,राजा ने किताब पढ़ी"
"मेरी बहन सुन्दर है,मेरी बहन सुंदर है"
"घर में दरवाजा खुला है,घर का दरवाजा खुला है"
"मैं खुश है,मैं खुश हूँ"
"उसने किताब पढा,उसने किताब पढ़ा"
"तुम लोग क्यों नहीं आ रही हो,तुम लोग क्यों नहीं आ रहे हो"
"राम और सीता घर गए,राम और सीता घर गए थे"
